English;French;Dutch;German;Swedish
Meeting App;;;;
Upcoming Events;rendez-vous prévus;Komende bijeenkomsten;Anstehende Termine;
Organize a Meeting;Nouveau rendez-vous;Maak een nieuwe afspraak ;Neuer Termin;
Contacts;Contacts;Contacten;Kontakte;
Logout;Se déconnecter;Uitloggen;Abmelden;
Subject;Objet;Onderwerp;Betreff;
Date;Date;Datum;Datum;
Time;Heure;Tijdstip;Uhrzeit;
Location;Lieu;Plaats;Ort;
Add Contacts;Ajouter contact;Contactpersonen toevoegen;Kontakte hinzufügen;
Send Invitation;Envoyer invitation;stuur uitnodiging;Termin verschicken;
Contacts selected;Contacts sélectionnés;Geselecteerde contactpersonen;Kontakte ausgewählt;
Contacts to invite;Contacts à inviter;Uit te nodigen contacten;Hinzugefügte Kontakte;
Password;Mot de passe;Wachtwoord;Passwort;
Sign in;S'inscrire;Aanmelden;Anmelden;
Socialgroups App;;;;
Groups;Groupes;Groepen;Gruppen;
Refresh;Actualiser;Actualiseren;aktualisieren;
Create Group;Créer groupe;Groep maken;Gruppe anlegen;
Logout;Se déconnecter;Uitloggen;Abmelden;
Subject;Objet;Onderwerp;Betreff;
Description;Description;Beschrijving;Beschreibung;
Group description;Description du groupe;Groepsbeschrijving;Beschreibung der Gruppe;
Size of Group;Les membres du groupe;Grootte van de groep;Gruppenmitglieder;
Leave this group;groupe de congé;Verlaat groep;Gruppe verlassen;
Password;Mot de passe;W;Passwort;
Sign in;S'inscrire;Aanmelden;Anmelden;
Profile Editor;;;;
Connecting to Server;Connection au serveur;Maakt verbinding met server;Verbindet mit Server;
Login success;Connection réussie;Login succe vol;Anmeldung erfolgreich;
Your Profile;Votre profil;Jouw profiel;Ihr Profil;
Personal;Personnel;Persoonlijk;Persönlich;
First Name;Prénom;Voornaam;Vorname;
Middle Name;Deuxième nom;Tweede naam;Zweiter Name;
Last Name;Nom de famille;Achternaam;Nachname;
Preferred Name;Pseudo;Voorkeursnaam;Wunschname;
Gender;Sexe;Geslacht;Geschlecht;
Male;Homme;Mannelijk;Männlich;
Female;Femme;Vrouwelijk;Weiblich;
Date of Birth;Date de naissance;Verjaardag;Geburtstag;
Contact Info;Informations de contact;Contact informatie;Kontakt Information;
User Name;Nom d'utilisateur;Gebruikersnaam;Benutzername;
E-Mail;E-Mail;E-Mail;E-Mail;
Phone;Numéro de téléphone;Telefoonnummer;Telefonnummer;
Mobile Phone;Numéro de portable;Mobiel nummer;Mobiltelefon Nummer;
Residential Address;Adresse;Woonadres;Wohnsitz;
Street;Rue;Straat;Straße;
Number;Numéro;Huisnummer;Hausnummer;
Postal Code;Code postal;Postcode;Postleitzahl;
State/Province;Région;Staat;Bundesland;
City;Ville;Plaats;Ort;
Country;Pays;Land;Land;
Postal Address;Adresse postale;Postadres;Postalische Anschrift;
Postal Code;Code postal;Postcode;Postleitzahl;
More Info;Informations complémentaires;Verdere informatie;weitergehende Information;
Citizenship;Nationalité;Nationaliteit;Staatsangehörigkeit;
British;Britannique;Brits;Britisch;
Dutch;Néerlandais;Nederlands;Niederländisch;
French;Français;Frans;Französisch;
Swedish;Suédois;Zweeds;Schwedisch;
German;Allemand;Duits;Deutsch;
Nationality;Nationalité;Nationaliteit;Nationalität;
Spanish;Espagnol;Spaans;Spanisch;
Language;Langue ;Taal;Sprache;
Marital Status;Situation de famille;Burgerlijke staat;Familienstand;
Married;Marié;Getrouwd;verheiratet;
Single;Célibataire;Single;alleinstehend;
Widow / Widower;Veuf;Weduwe/Weduwnaar;verwitwet;
Educational Level;Niveau d'études;Onderwijsniveau;Bildungsstand;
Primary;Primaire;Hoogste opleiding;Pflichtschule;
Lower secondary;Collège ;Lager middelbaar;Hauptschule;
Upper secondary;Lycée;Hoger middelbaar;Oberstufe;
Post secondary;Post-bac;Na de middelbare;Postsekundär;
Tertiary;Etudes supérieures;Hoger;Tertiär;
Bachelor;Baccalauréat;Bachelor;Bachelor / Vordiplom;
Master;Master / diplôme universitaire;Masteropleiding;Master /Diplom;
Doktoral;Doctorat;Doctor;Doktor;
Employment Status;Situation professionnelle;Arbeidssituatie;Anstellungsverhältnis;
Employed;Employé;Loondienst;Angestellt;
Retired;Retraité;Gepensioneerd;In Rente;
Unemployed;Au chômage;Werkloos;Arbeitslos;
Profession;Profession;Beroep;Beruf;
Teacher;Enseignant;Leraar;Lehrer;
Engineer;Ingénieur;Ingenieur;Ingenieur;
Lawyer;Avocat;Advocaat;Anwalt;
Health Insurance;Assurance maladie;Ziektekostenverzekering;Krankenkasse;
Partial;Partiellement assurés;Gedeeltelijk;Teilversichert;
all assured;Assuré à 100 %;Volledig verzekerd;Vollversichert;
Mobility Level;Niveaux de mobilité;Mobiliteit niveau;Mobilitätsgrad;
Wheelchair;Chaise roulante;Rolstoel;Rollstuhl;
Rollator;Déambulateur;Rollator;Rollator;
Cane;Canne;Kruk/Wandelstok;Krückstock;
Healthy;En bonne santé;Gezond;Gesund;
Fit;En forme;Fit;Fit;
Contacts;Contacts;Contacten;Kontakte;
Add contacts;Ajouter contact;Contactpersonen toevoegen;Kontakte hinzufügen;
General;Informations générales;Algemene informatie;Allgemeine Informationen;
Relation;Entourage;Relatie;Beziehung;
Carer;Aide-familial;Verzorger;Pfleger;
Doctor;Docteur;Doctor;Arzt;
Nurse;Infirmière;Verpleegster;Pflegekraft;
Mother;Mère;Moeder;Mutter;
Father;Père;Vader;Vater;
Relative;Parents;Verwant;Verwandter;
Other;Autre;Anders;Sonstiger;
Edit Access Rights;Modifier les droits d'accès;Toegangs rechten bewerken;Zugriffsrechte bearbeiten;
Health;Santé;Gezondheid;Gesundheit;
Temperature;Température;Temperatuur;Temperatur;
Respiratory Rate;Fréquence respiratoire;Ademhalingsfrequentie;Atemfrequenz;
Heartrate;Rythme cardiaque;Hartslag;Puls;
beats per minute (bpm);Battements par minute (bpm);Aantal slagen per minuut;Schläge pro Minute;
Walking Speed;Vitesse de marche;Loopsnelheid;Gehgeschwindigkeit;
Steps per Minute (spm);Pas par minute (ppm);Stappen per minuut (spm);Schritte pro Minute (spm);
Body Position;Position du corps;Lichaamsbouw;Körperposition;
Resting;Au repos;Rustend;Ruhend;
Save;Sauvegarder;Besparen;Speichern;
Settings;Paramètres;Instellingen;Einstellungen;
Server Options;Paramètres du serveur;Server instellingen;Server Einstellungen;
