English;French;Dutch;German;Swedish
Meeting App;;;;
Upcoming Events;Rendez-vous prévus;Komende bijeenkomsten;Anstehende Termine;
Organize a Meeting;Nouveau rendez-vous;Maak een nieuwe afspraak ;Neuer Termin;
Contacts;Contacts;Contacten;Kontakte;
Logout;Déconnexion;Uitloggen;Abmelden;
Subject;Objet;Onderwerp;Betreff;
Date;Date;Datum;Datum;
Time;Heure;Tijdstip;Uhrzeit;
Location;Lieu;Plaats;Ort;
Add Contacts;Ajouter contact;Contactpersonen toevoegen;Kontakte hinzufügen;
Send Invitation;Envoyer invitation;stuur uitnodiging;Termin verschicken;
Contacts selected;Contacts sélectionnés;Geselecteerde contactpersonen;Kontakte ausgewählt;
Contacts to invite;Contacts à inviter;Uit te nodigen contacten;Hinzugefügte Kontakte;
Password;Mot de passe;Wachtwoord;Passwort;
Sign in;S'inscrire;Aanmelden;Anmelden;
Socialgroups App;;;;
Groups;Groupes;Groepen;Gruppen;
Refresh;Actualiser;Actualiseren;aktualisieren;
Create Group;Créer groupe;Groep maken;Gruppe anlegen;
Logout;Déconnexion;Uitloggen;Abmelden;
Subject;Objet;Onderwerp;Betreff;
Description;Description;Beschrijving;Beschreibung;
Group description;Description du groupe;Groepsbeschrijving;Beschreibung der Gruppe;
Size of Group;Les membres du groupe;Grootte van de groep;Gruppenmitglieder;
Leave this group;groupe de congé;Verlaat groep;Gruppe verlassen;
Password;Mot de passe;Wachtwoord ;Passwort;
Sign in;S'inscrire;Aanmelden;Anmelden;
Profile Editor;;;;
Add contact;Ajouter contact;Contactpersonen toevoegen;Kontakt hinzufügen;
Alcohol;Alcool;Alcohol ;Alkohol;
Alfred App Installation Date;Date d'installation de l'application ALFRED;Alffred app installatie datum ;Installations-Datum der ALFRED-App;
ALFRED Profile;ALFRED profil;ALFRED profiel;ALFRED Profil;
ALFRED Username;Nom d'utilisateur ALFRED;ALFRED gebruikersnaam;ALFRED Benutzername;
all assured;Assuré à 100 %;Volledig verzekerd;Vollversichert;
Already registered?;Déjà enregistré?;Al geregistreerd?;Bereits registriert?;
Angioplasty;Angioplastie;Angioplastie ;Angioplastie;
Anniversary Date;Date d'anniversaire;Jubileum ;Jahrestag;
Apricots;Abricots;Abrikozen ;Aprikosen;
Arthrotomy;Arthrotomie;Arthrotomie;Arthrotomie;
Asthma;Asthme;Astma;Asthma;
Bachelor;Baccalauréat;Bachelor;Bachelor / Vordiplom;
Beats per minute (bpm);Battements par minute (bpm);Aantal slagen per minuut;Schläge pro Minute;
Blood type;Groupe sanguin;Bloedgroep;Blutgruppe;
Body Position;Position du corps;Lichaamsbouw;Körperposition;
Body temperature at rest;Température du corps au repos;Lichaamstemperatuur in rust ;Körpertemperatur bei Ruhe;
Breathing rate at rest;Fréquence respiratoire au repos;Ademhalingsfrequentie in rust ;Atemfrequenz bei Ruhe;
British;Britannique;Brits;Britisch;
Broken hip;Hanche cassée;Gebroken heup ;Gebrochene Hüfte;
Bursectomy;Boursectomie;Bursectomie ;Bursektomie;
Cane;Canne;Wandelstok;Krückstock;
Carer;Aide-familial;Verzorger;Pfleger;
Changes will be lost.;Les changements seront perdus.;Veranderingen gaan verloren.;Änderungen gehen verloren.;
Chronical Conditions;Conditions chroniques;Chronische ziekten ;Chronische Krankheiten;
Citizenship;Nationalité;Nationaliteit;Staatsangehörigkeit;
City;Ville;Plaats;Ort;
Cognition Level;Niveau cognitif;Cognitie niveau ;Wahrnehmungs-Grad;
Complete Name;Nom complet;Complete naam ;Kompletter Name;
Connecting to Server;Connection au serveur;Maakt verbinding met server;Verbinde mit Server;
Contact icon;Image du contact;Contactbeeld ;Kontakt Bild;
Contact Info;Informations de contact;Contact informatie;Kontakt Information;
Contacts;Contacts;Contacten;Kontakte;
Country;Pays;Land;Land;
Create;Créer ;Creeren ;Anlegen;
Cultural or Family Needs;Besoins familiaux ou culturels;Culturele of familie behoeften ;Gesellschaftliche und kulturelle Bedürfnisse;
Current User ID;Identification d'utilisateur actuel;Huidige ID nummer ;ID des aktuellen Benutzers;
Current Username;Nom d'utilisateur actuel;Huidige gebruikersnaam ;Name des aktuellen Benutzers;
Date of Birth;Date de naissance;Verjaardag;Geburtstag;
Daily Living Activities Score;Score de vos activités quotidiennes;Score voor dagelijkse activiteiten ;Alltagsaktivitäten Punkte;
Delete contact?;Supprimer le contact?;Contact verwijderen?;Kontakt löschen?;
Delete profile?;Supprimer le profil?;Profiel verwijderen?;Profil löschen?;
Developer;Développer;Ontwikkelaar;Entwickler;
Diabetes;Diabète;Diabetes ;Diabetes;
Dietary Requirements;Régime spécial;Dieetwensen ;Ernährungsbedürfnisse;
Do you really want to close this session?;Voulez-vous vraiment quitter cette session?;Wilt u deze sessie echt afsluiten?;Möchten Sie wirklich diese Sitzung schließen?;
Do you want to exit?;Voulez-vous quitter?;Wilt u weggaan?;Möchten Sie beenden?;
Doctor;Docteur;Dokter ;Arzt;
Doctoral;Doctorat;Doctor;Doktor;
Dutch;Néerlandais;Nederlands;Niederländisch;
E-Mail;E-Mail;E-Mail;E-Mail;
Edit Access Rights;Modifier les droits d'accès;Toegangs rechten bewerken;Zugriffsrechte bearbeiten;
Edit contact;Modifier le contact;Contact bewerken ;Kontakt bearbeiten;
Educational Level;Niveau d'études;Onderwijsniveau;Bildungsstand;
Employed;Employé;Loondienst;Angestellt;
Employment Status;Situation professionnelle;Arbeidssituatie;Anstellungsverhältnis;
Engineer;Ingénieur;Ingenieur;Ingenieur;
Father;Père;Vader;Vater;
Female;Femme;Vrouwelijk;Weiblich;
First Name;Prénom;Voornaam;Vorname;
Fit;En forme;Fit;Fit;
French;Français;Frans;Französisch;
Gender;Sexe;Geslacht;Geschlecht;
General;Informations générales;Algemene informatie;Allgemeine Informationen;
German;Allemand;Duits;Deutsch;
Glaucoma;Glaucome;Glucose ;Glaukom;
Gluten intolerant;Intolérant au gluten;Gluten intolerant ;Gluten-Intoleranz;
Health;Santé;Gezondheid;Gesundheit;
Health Insurance;Assurance maladie;Ziektekostenverzekering;Krankenkasse;
Healthy;En bonne santé;Gezond ;Gesund;
Hearing acuity score;Score d'acuité auditive;Hoorvermogen ;Hörvermögen;
Heartrate;Rythme cardiaque;Hartslag;Puls;
Height;Taille;Lengte ;Größe;
Hepatitis A;Hépatite A;Hepatitis A;Hepatitis A;
Interests;Centres d'intérêt;Interesses ;Interessen;
Known allergies;Allergies connues;Bekende allergieen ;Bekannte Allergien;
Lacto vegetarian;Lacto végétarien;Lacto vegetarier ;Laktovegetarier;
Language;Langue ;Taal;Sprache;
Last Name;Nom de famille;Achternaam;Nachname;
Lawyer;Avocat;Advocaat;Anwalt;
Lifestyle health related;Mode de vie;Leefstijlgerelateerd ;Lebensführung;
Living situation;Conditions de vie;Leefsituatie ;Lebenslage;
